nets,vals
UNNAMED_4_ADL5605_I25_RFIN PIN U1.1 ADL5605ACPZ 468.99 604.96 SHAPE END PIN C1.2 100pF 468.99 505.40 SHAPE END end,0.084
UNNAMED_4_ADL5605_I25_RFOUT1 PIN U1.12 ADL5605ACPZ 468.99 756.56 SHAPE END PIN U1.11 ADL5605ACPZ 494.58 756.56 SHAPE END PIN L1.1 18nH 507.27 812.90 SHAPE END PIN L2.1 1.6nH 507.38 859.05 SHAPE END PIN U1.10 ADL5605ACPZ 520.18 756.56 SHAPE END PIN U1.9 ADL5605ACPZ 545.77 756.56 SHAPE END end,0.084
UNNAMED_4_CAP_I29_N1 PIN L2.2 1.6nH 507.38 909.05 SHAPE END PIN C13.1 100pF 507.38 1058.40 SHAPE END PIN C12.1 8PF 507.38 1017.05 SHAPE END end,0.084
UNNAMED_4_CAP_I17_N2 PIN C13.2 100pF 507.38 1083.40 SHAPE END PIN J2.1 CON-SMA-EDGE-S 507.27 1196.50 SHAPE END end,0.083
UNNAMED_3_CAP_I19_N1 PIN E1.1 100MEGHZ 812.99 -62.10 PIN R8.1 301 1088.99 229.90 CLINE 1088.99 229.90 1046.49 15.40 12.00 VIA 1046.49 15.40 10.00 PIN C23.1 1UF 898.99 21.40 PIN L4.2 1uH 823.99 19.44 PIN R7.2 182K 804.99 21.40 CLINE 853.99 -62.10 804.99 21.40 12.00 VIA 853.99 -62.10 10.00 SHAPE END end,0.083
UNNAMED_3_LINLTM8045_I26_FB PIN U4.A3 LTM8045MPY#PBF 829.93 178.92 PIN R6.1 60.4K 842.99 77.90 CLINE 842.99 77.90 842.99 21.40 12.00 PIN R7.1 182K 842.99 21.40 CLINE 842.99 77.90 843.99 137.90 12.00 VIA 843.99 137.90 10.00 SHAPE END end,0.083
UNNAMED_3_CAP_I23_N1 PIN U4.B1 LTM8045MPY#PBF 729.93 228.92 PIN U4.A1 LTM8045MPY#PBF 729.93 178.92 PIN C22.1 100uF 648.99 127.90 PIN U4.A2 LTM8045MPY#PBF 779.93 178.92 PIN U4.B2 LTM8045MPY#PBF 779.93 228.92 PIN R6.2 60.4K 804.99 77.90 CLINE 804.99 77.90 775.09 77.90 12.00 VIA 775.09 77.90 10.00 PIN L4.1 1uH 823.99 86.36 SHAPE END end,0.083
PGND PIN D1.A SMAJ5.0A-13-F 1003.79 882.90 PIN R4.2 1K 897.99 949.40 PIN L3.4 100MEGHZ 1044.90 751.12 PIN C15.2 47UF 1008.99 1007.90 PIN P1.5 47590-0001 973.82 1117.67 SHAPE END end,0.082
UNNAMED_3_CN5P3SHLD_I52_N6 PIN R4.1 1K 897.99 1024.40 PIN P1.SH3 47590-0001 1189.37 1222.91 PIN P1.SH2 47590-0001 1025.00 1222.91 PIN P1.SH1 47590-0001 860.63 1222.91 SHAPE END end,0.082
UNNAMED_4_DIOLED_I108_P PIN R3.2 365 1005.99 191.90 CLINE 1005.99 191.90 1005.99 127.90 12.00 PIN DS1.A SML-D12U1WT86 1005.99 127.90 SHAPE END end,0.082
Source 2 positive 0V rise 35ps fall 35ps 50ohm end,0.082
UNNAMED_3_CAP_I36_N1 PIN U4.G3 LTM8045MPY#PBF 829.93 478.92 PIN U4.G4 LTM8045MPY#PBF 879.93 478.92 PIN U4.H4 LTM8045MPY#PBF 879.93 528.92 PIN U4.G5 LTM8045MPY#PBF 929.93 478.92 PIN U4.H5 LTM8045MPY#PBF 929.93 528.92 PIN C16.1 0.1UF 1038.99 470.40 SHAPE END PIN C17.1 0.1UF 1138.99 470.40 SHAPE END PIN L3.2 100MEGHZ 1163.08 624.68 SHAPE END end,0.081
UNNAMED_3_DIOLED_I57_P PIN R8.2 301 1088.99 191.90 CLINE 1088.99 191.90 1088.99 127.90 12.00 PIN DS2.A LTST-C191KGKT 1088.99 127.90 SHAPE END end,0.081
boardend,0.081
boardend,0.081
boardend,0.08
boardend,0.08
boardend,0.08
boardend,0.08
boardend,0.079
boardend,0.079
boardend,0.079
boardend,0.079
boardend,0.078
boardend,0.078
boardend,0.078
boardend,0.077
boardend,0.077
boardend,0.077
boardend,0.076
boardend,0.076
boardend,0.076
boardend,0.076
boardend,0.075
boardend,0.075
boardend,0.075
boardend,0.074
boardend,0.074
boardend,0.074
boardend,0.073
boardend,0.073
boardend,0.073
boardend,0.072
boardend,0.072
boardend,0.072
boardend,0.071
boardend,0.071
boardend,0.071
boardend,0.071
boardend,0.07
boardend,0.07
boardend,0.07
boardend,0.069
boardend,0.069
boardend,0.069
boardend,0.068
boardend,0.068
boardend,0.068
boardend,0.067
boardend,0.067
boardend,0.067
boardend,0.067
boardend,0.066
boardend,0.066
boardend,0.066
boardend,0.065
boardend,0.065
boardend,0.065
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.064
boardend,0.063
boardend,0.063
boardend,0.063
boardend,0.062
boardend,0.062
boardend,0.062
boardend,0.061
boardend,0.061
boardend,0.061
boardend,0.163
boardend,0.162
boardend,0.161
boardend,0.161
boardend,0.16
boardend,0.159
boardend,0.158
boardend,0.158
boardend,0.157
boardend,0.156
boardend,0.155
boardend,0.155
boardend,0.154
boardend,0.153
boardend,0.153
boardend,0.152
boardend,0.151
boardend,0.15
boardend,0.15
